"","tweet"
"104","uber driver tuff "
"105"," going  almost three days   resolve havent heard  anyone  uber today"
"106","ladies please dont request uberbolt   dont  money  pay    drivers  will accept clito cu "
"107"," clarify along  good friends  will  paying   uber rides    po"
"108","    one  lies  uber drivers like big life lies just  test  acting last night    year old engi"
"109","  called  work w car problems   wanted  buy   uber "
"110"," ill uber    sister take "
"111","thinking   time  someone died   hotel    working    didnt know   coroner came "
"112","  economy model   stay thrive numbers tell  different story  loosing m usd per"
"113","  still smol tho    biggest smile   uber wholesome"
"114","worlds longest fry im taking  uber "
"115","  fear  peachs portrayal  understandable  seeing  uberfeministfantas "
"116","breaking   uber eats like   door dash"
"117","uber   tailors"
"118"," star   bangalore cheaper  ola uber timely pickup last minute reschedule driv"
"119","tried todayawesome exphope  use  soon   "
"120","first taxi ride  years never   dinosaur industry  done nothing  adapt   disruption  ride "
"121"," uber driver  watching  basketball game  driving     timeshould   worried lol"
"122"," uber just picked mom amp dad   take    airport amp   drove away  girl put  arms around  lo "
"123","  whole tweet sounds uber pathetic imagine thinking harry  meghan   story rele"
"124"," dont order uber eats    days  start getting aggressive w  notifications  know  aint eat today"
"125"," uber driver named adrianna  catcalled   dusk  poland"
"126"," uber driver  playing  burned cd entitled ska punk christmas"
"127","    uber free rides apply  middle aged  senior citizens  "
"128","  definitely want  get  sorted  weve   touch via dm     questions pleas "
"129"," damn   horrible"
"130"," vintage uber successful   always h h h"
"131","   drivers  riders just worked     figure   much  charge   charge th "
"132","bitch uber   dick"
"133"," olu hu uber run   life"
"134","lbas uber patent infringement markman hearing "
"135","uber drivers man "
"136","uber drivers always play bob marley   get   car lol"
"137"," uber  arrived "
"138","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"139"," thats always sad  place   hot tip  yesterdays uber driver turns  desires oyster bar "
"140"," bucks  one day now  gotta  uber  drunk fuck "
"141","  preliminary due diligence   appears many   also charged  multiple months  "
"142"," uber  ola    driver behave   way  sometimes  even ask  extra money "
"143"," actually  true    desire   tesla   uber ride  nas "
"144","however im   uber eats driver ass im really waiting    mf door"
"145","walker lives  tx ga cancel  early voting  now  december nd december th  election day go  "
"146"," dont maccas   new drinks  uber eats "
"147","    preschool teacher many moons ago amp  cant even fathom talking   sex life boyfriend social life"
